id	rep	cite	OTName	OTUnit
3775	422	3	Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659–670. doi:10.1046/j.0028-646x.2001.00212.x	net photosynthesis	microg o2 g(DW)^-1 min^-1
3776	422	3	Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659–670. doi:10.1046/j.0028-646x.2001.00212.x	net photosynthesis	microg o2 g(DW)^-1 min^-1
3781	423	3	Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659–670. doi:10.1046/j.0028-646x.2001.00212.x	dark respiration	microg o2 g(DW)^-1 min^-1
3782	423	3	Pilon, J., & Santamaria, L. (2001). Seasonal acclimation in the photosynthetic and respiratory temperature responses of three submerged freshwater macrophyte species. New Phytologist, 151(3), 659–670. doi:10.1046/j.0028-646x.2001.00212.x	dark respiration	microg o2 g(DW)^-1 min^-1
3787	424	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3788	424	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3798	425	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3799	425	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3809	426	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3810	426	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3821	427	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3822	427	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3833	428	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3834	428	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3845	429	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3846	429	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3857	430	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3858	430	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3870	431	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3871	431	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3883	432	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3884	432	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3895	433	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3896	433	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3908	434	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3909	434	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3921	435	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3922	435	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3934	436	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3935	436	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3944	437	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3945	437	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3954	438	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3955	438	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3964	439	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3965	439	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3974	440	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3975	440	sub	Newell, R., & Pye, V. (1968). Seasonal variations in the effect of temperature on the respiration of certain intertidal algae. … of the Marine Biological Association of …, 341–348. Retrieved from http://journals.cambridge.org/abstract_S0025315400034536	respiration	microl o2 mg(DW)^-1 h^-1
3984	441	3	Kudo, I., Miyamoto, M., Noiri, Y., & Maita, Y. (2000). Combined effects of temperature and iron on the growth and physiology of the marine diatom Phaeodactylum tricornutum (Bacillariophyceae). Journal of Phycology, 1102(June), 1096–1102. Retrieved from http://onlinelibrary.wiley.com/doi/10.1046/j.1529-8817.2000.99042.x/full	cell-specific photosynthesis rate	fmol C cell^-1 min^-1
3985	441	3	Kudo, I., Miyamoto, M., Noiri, Y., & Maita, Y. (2000). Combined effects of temperature and iron on the growth and physiology of the marine diatom Phaeodactylum tricornutum (Bacillariophyceae). Journal of Phycology, 1102(June), 1096–1102. Retrieved from http://onlinelibrary.wiley.com/doi/10.1046/j.1529-8817.2000.99042.x/full	cell-specific photosynthesis rate	fmol C cell^-1 min^-1
3989	442	3	Kudo, I., Miyamoto, M., Noiri, Y., & Maita, Y. (2000). Combined effects of temperature and iron on the growth and physiology of the marine diatom Phaeodactylum tricornutum (Bacillariophyceae). Journal of Phycology, 1102(June), 1096–1102. Retrieved from http://onlinelibrary.wiley.com/doi/10.1046/j.1529-8817.2000.99042.x/full	cell-specific photosynthesis rate	fmol C cell^-1 min^-1
3990	442	3	Kudo, I., Miyamoto, M., Noiri, Y., & Maita, Y. (2000). Combined effects of temperature and iron on the growth and physiology of the marine diatom Phaeodactylum tricornutum (Bacillariophyceae). Journal of Phycology, 1102(June), 1096–1102. Retrieved from http://onlinelibrary.wiley.com/doi/10.1046/j.1529-8817.2000.99042.x/full	cell-specific photosynthesis rate	fmol C cell^-1 min^-1
3994	443	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
3995	443	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4000	444	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4001	444	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4006	445	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4007	445	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4012	446	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4013	446	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4018	447	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4019	447	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4024	448	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4025	448	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4030	449	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4031	449	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4036	450	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4037	450	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4042	451	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4043	451	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4048	452	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4049	452	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4054	453	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4055	453	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4060	454	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4061	454	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	net photosynthesis rate	microl o2 mg(Chl)^-1 h^-1
4066	455	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4067	455	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4072	456	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4073	456	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4078	457	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4079	457	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4084	458	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4085	458	6	Dawes, C. J., Moon, R. E., & Davis, M. A. (1978). The photosynthetic and respiratory rates and tolerances of benthic algae from a mangrove and salt marsh estuary: A comparative study. Estuarine and Coastal Marine Science, 6(2), 175–185. doi:10.1016/0302-3524(78)90099-3	respiration rate	microl o2 g(DW)^-1 h^-1
4090	459	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4091	459	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4096	460	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4097	460	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4102	461	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4103	461	sub	Emerson, R., & Green, L. (1934). Manometric measurements of photosynthesis in the marine alga Gigartina. The Journal of General Physiology, 817–842. Retrieved from http://www.ncbi.nlm.nih.gov/pmc/articles/pmc2141316/	rate of photosynthesis	mm^3 o2 cm^-2 h^-1
4109	462	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4110	462	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4121	463	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4122	463	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4133	464	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4134	464	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4146	465	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4147	465	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4157	466	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4158	466	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4170	467	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4171	467	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4181	468	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4182	468	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4194	469	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4195	469	sub	Palta, J., & Nobel, P. (1989). Influences of water status, temperature, and root age on daily patterns of root respiration for two cactus species. Annals of Botany, 651–662. Retrieved from http://aob.oxfordjournals.org/content/63/6/651.short	root respiration	micromol co2 kg^-1 s^-1
4205	470	8	Covey-Crump, E. M., Attwood, R. G., & Atkin, O. K. (2002). Regulation of root respiration in two species of Plantago that differ in relative growth rate: the effect of short- and long-term changes in temperature. Plant, Cell and Environment, 25(11), 1501–1513. doi:10.1046/j.1365-3040.2002.00932.x	respiration	nmol o2 g(DW)^-1 s^-1
4206	470	8	Covey-Crump, E. M., Attwood, R. G., & Atkin, O. K. (2002). Regulation of root respiration in two species of Plantago that differ in relative growth rate: the effect of short- and long-term changes in temperature. Plant, Cell and Environment, 25(11), 1501–1513. doi:10.1046/j.1365-3040.2002.00932.x	respiration	nmol o2 g(DW)^-1 s^-1
