id	cite	CTaxa	RTaxa	RDenUnit
614	39888	Hildrew A. G. and C. R. Townsend. 1977. INFLUENCE OF SUBSTRATE ON FUNCTIONAL RESPONSE OF PLECTROCNEMIA-CONSPERSA (CURTIS) LARVAE (TRICHOPTERA POLYCENTROPODIDAE). Oecologia 31:21-26.	Plectrocnemia conspersa (Curtis 1834)	Leuctra nigra (Olivier 1811)	Individuals per arena
617	39889	Hildrew A. G. and C. R. Townsend. 1977. INFLUENCE OF SUBSTRATE ON FUNCTIONAL RESPONSE OF PLECTROCNEMIA-CONSPERSA (CURTIS) LARVAE (TRICHOPTERA POLYCENTROPODIDAE). Oecologia 31:21-26.	Plectrocnemia conspersa (Curtis 1834)	Nemurella picteti Klapalek	Individuals per arena
618	39889	Hildrew A. G. and C. R. Townsend. 1977. INFLUENCE OF SUBSTRATE ON FUNCTIONAL RESPONSE OF PLECTROCNEMIA-CONSPERSA (CURTIS) LARVAE (TRICHOPTERA POLYCENTROPODIDAE). Oecologia 31:21-26.	Plectrocnemia conspersa (Curtis 1834)	Nemurella picteti Klapalek	Individuals per arena
621	39890	Akre B. G. and D. M. Johnson. 1979. SWITCHING AND SIGMOID FUNCTIONAL-RESPONSE CURVES BY DAMSELFLY NAIADS WITH ALTERNATIVE PREY AVAILABLE. Journal of Animal Ecology 48:703-720.	Anomalagrion hastatum (Say)	Simocephalus vetulus (O. F. Mller 1776)	Individuals per arena
622	39890	Akre B. G. and D. M. Johnson. 1979. SWITCHING AND SIGMOID FUNCTIONAL-RESPONSE CURVES BY DAMSELFLY NAIADS WITH ALTERNATIVE PREY AVAILABLE. Journal of Animal Ecology 48:703-720.	Anomalagrion hastatum (Say)	Simocephalus vetulus (O. F. Mller 1776)	Individuals per arena
627	39891	Akre B. G. and D. M. Johnson. 1979. SWITCHING AND SIGMOID FUNCTIONAL-RESPONSE CURVES BY DAMSELFLY NAIADS WITH ALTERNATIVE PREY AVAILABLE. Journal of Animal Ecology 48:703-720.	Anomalagrion hastatum (Say)	Daphnia magna Straus 1820	Individuals per arena
628	39891	Akre B. G. and D. M. Johnson. 1979. SWITCHING AND SIGMOID FUNCTIONAL-RESPONSE CURVES BY DAMSELFLY NAIADS WITH ALTERNATIVE PREY AVAILABLE. Journal of Animal Ecology 48:703-720.	Anomalagrion hastatum (Say)	Daphnia magna Straus 1820	Individuals per arena
633	39892	Holling C. 1965. The functional response of predators to prey density and its role in mimicry and population regulation. Memoirs of the Entomological Society of Canada 45:60.	Peromyscus maniculatus (Wagner 1845)	Neodiprion sertifer (Geoffroy 1785)	Individuals per arena
634	39892	Holling C. 1965. The functional response of predators to prey density and its role in mimicry and population regulation. Memoirs of the Entomological Society of Canada 45:60.	Peromyscus maniculatus (Wagner 1845)	Neodiprion sertifer (Geoffroy 1785)	Individuals per arena
652	39893	Real L. A. 1979. ECOLOGICAL DETERMINANTS OF FUNCTIONAL-RESPONSE. Ecology 60:481-485.	Peromyscus maniculatus (Wagner 1845)	Triticum spp.	Individuals per arena
653	39893	Real L. A. 1979. ECOLOGICAL DETERMINANTS OF FUNCTIONAL-RESPONSE. Ecology 60:481-485.	Peromyscus maniculatus (Wagner 1845)	Triticum spp.	Individuals per arena
670	39894	Longstaff B. C. 1980. THE FUNCTIONAL-RESPONSE OF A PREDATORY MITE AND THE NATURE OF THE ATTACK RATE. Australian Journal of Ecology 5:151-158.	Pergamasus crassipes (Linnaeus 1758)	Onychiurus armatus (Tullberg)	Individuals per arena
671	39894	Longstaff B. C. 1980. THE FUNCTIONAL-RESPONSE OF A PREDATORY MITE AND THE NATURE OF THE ATTACK RATE. Australian Journal of Ecology 5:151-158.	Pergamasus crassipes (Linnaeus 1758)	Onychiurus armatus (Tullberg)	Individuals per arena
677	39895	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
678	39895	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
685	39896	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
686	39896	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
693	39897	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
694	39897	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia pulex Leydig 1860	Individuals per arena
701	39898	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
702	39898	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
709	39899	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
710	39899	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
717	39900	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
718	39900	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Daphnia rosea Sars 1862	Individuals per arena
725	39901	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Moina hutchinsoni Brehm 1937	Individuals per arena
726	39901	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Moina hutchinsoni Brehm 1937	Individuals per arena
733	39902	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Holopedium gibberum Zaddach 1885	Individuals per arena
734	39902	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Holopedium gibberum Zaddach 1885	Individuals per arena
741	39903	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Holopedium gibberum Zaddach 1885	Individuals per arena
742	39903	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Holopedium gibberum Zaddach 1885	Individuals per arena
749	39904	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Diaptomus birgei ????	Individuals per arena
750	39904	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Diaptomus birgei ????	Individuals per arena
757	39905	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Cyclops vernalis Fischer 1853	Individuals per arena
758	39905	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Cyclops vernalis Fischer 1853	Individuals per arena
765	39906	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Diaptomus leptopus Forbes 1882	Individuals per arena
766	39906	Vinyard G. L. and R. A. Menger. 1980. CHAOBORUS-AMERICANUS PREDATION ON VARIOUS ZOOPLANKTERS - FUNCTIONAL-RESPONSE AND BEHAVIORAL OBSERVATIONS. Oecologia 45:90-93.	Chaoborus americanus Johannsen 1903	Diaptomus leptopus Forbes 1882	Individuals per arena
773	39907	Batzli G. O. H. J. G. Jung and G. Guntenspergen. 1981. NUTRITIONAL ECOLOGY OF MICROTINE RODENTS - LINEAR FORAGING-RATE CURVES FOR BROWN LEMMINGS. Oikos 37:112-116.	Lemmus sibiricus (Kerr 1792)	sedges & grasses	g (body - dry) per square meter
774	39907	Batzli G. O. H. J. G. Jung and G. Guntenspergen. 1981. NUTRITIONAL ECOLOGY OF MICROTINE RODENTS - LINEAR FORAGING-RATE CURVES FOR BROWN LEMMINGS. Oikos 37:112-116.	Lemmus sibiricus (Kerr 1792)	sedges & grasses	g (body - dry) per square meter
795	39908	Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.	Phytoseiulus persimilis DO	Tetranychus pacificus McGregor 1919	Individuals per arena
796	39908	Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.	Phytoseiulus persimilis DO	Tetranychus pacificus McGregor 1919	Individuals per arena
803	39909	Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.	Amblyseius degenerans	Tetranychus pacificus McGregor 1919	Individuals per arena
804	39909	Eveleigh E. S. and D. A. Chant. 1981. EXPERIMENTAL STUDIES ON ACARINE PREDATOR-PREY INTERACTIONS - EFFECTS OF PREDATOR AGE AND FEEDING HISTORY ON PREY CONSUMPTION AND THE FUNCTIONAL-RESPONSE (ACARINA PHYTOSEIIDAE). Canadian Journal of Zoology-Revue Canadienne De Zoologie 59:1387-1406.	Amblyseius degenerans	Tetranychus pacificus McGregor 1919	Individuals per arena
811	39910	SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.	Xenopus laevis (Daudin 1802)	Saccharomyces cerevisiae Meyen ex E.C. Hansen	cubic micrometer (yeast wet cell biovolume) per milliliter
812	39910	SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.	Xenopus laevis (Daudin 1802)	Saccharomyces cerevisiae Meyen ex E.C. Hansen	cubic micrometer (yeast wet cell biovolume) per milliliter
851	39911	SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.	Rana pipiens Schreber 1782	Saccharomyces cerevisiae Meyen ex E.C. Hansen	cubic micrometer (yeast wet cell biovolume) per milliliter
852	39911	SEALE D. B. 1982. OBLIGATE AND FACULTATIVE SUSPENSION FEEDING IN ANURAN LARVAE: FEEDING REGULATION IN XENOPUS AND RANA. Biol Bull 162:214-231.	Rana pipiens Schreber 1782	Saccharomyces cerevisiae Meyen ex E.C. Hansen	cubic micrometer (yeast wet cell biovolume) per milliliter
893	39912	Townsend C. R. and A. J. Risebrow. 1982. THE INFLUENCE OF LIGHT LEVEL ON THE FUNCTIONAL-RESPONSE OF A ZOOPLANKTONIVOROUS FISH. Oecologia 53:293-295.	Abramis brama Linneaus	Daphnia magna Straus 1820	Individuals per arena
894	39912	Townsend C. R. and A. J. Risebrow. 1982. THE INFLUENCE OF LIGHT LEVEL ON THE FUNCTIONAL-RESPONSE OF A ZOOPLANKTONIVOROUS FISH. Oecologia 53:293-295.	Abramis brama Linneaus	Daphnia magna Straus 1820	Individuals per arena
901	39913	INCZE L. S. and A. J. PAUL. 1983. GRAZING AND PREDATION AS RELATED TO ENERGY NEEDS OF STAGE I ZOEAE OF THE TANNER CRAB CHIONOECETES BAIRDI (BRACHYURA MAJIDAE). Biol Bull 165:197-208.	Chionoecetes bairdi M. J. Rathbun 1924	Protoceratium reticulatum (Claparde & Lachmann) Butschli	Individuals per liter
902	39913	INCZE L. S. and A. J. PAUL. 1983. GRAZING AND PREDATION AS RELATED TO ENERGY NEEDS OF STAGE I ZOEAE OF THE TANNER CRAB CHIONOECETES BAIRDI (BRACHYURA MAJIDAE). Biol Bull 165:197-208.	Chionoecetes bairdi M. J. Rathbun 1924	Protoceratium reticulatum (Claparde & Lachmann) Butschli	Individuals per liter
905	39914	Porter K. G. J. Gerritsen and J. D. Orcutt Jr. 1982. The Effect of Food Concentration on Swimming Patterns Feeding Behavior Ingestion Assimilation and Respiration by Daphnia. Limnology and Oceanography 27:935-949.	Daphnia magna Straus 1820	Chlamydomonas reinhardtii P.A.Dang	Individuals per cubic centimeter
906	39914	Porter K. G. J. Gerritsen and J. D. Orcutt Jr. 1982. The Effect of Food Concentration on Swimming Patterns Feeding Behavior Ingestion Assimilation and Respiration by Daphnia. Limnology and Oceanography 27:935-949.	Daphnia magna Straus 1820	Chlamydomonas reinhardtii P.A.Dang	Individuals per cubic centimeter
916	39915	Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.	Odocoileus hemionus (Rafinesque 1817)	sedges & grasses	kg (body - dry) per hectare
917	39915	Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.	Odocoileus hemionus (Rafinesque 1817)	sedges & grasses	kg (body - dry) per hectare
928	39916	Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.	Cervus canadensis (Erxleben 1777)	sedges & grasses	kg (body - dry) per hectare
929	39916	Wickstrom M. L. C. T. Robbins T. A. Hanley D. E. Spalinger and S. M. Parish. 1984. FOOD-INTAKE AND FORAGING ENERGETICS OF ELK AND MULE DEER. Journal of Wildlife Management 48:1285-1301.	Cervus canadensis (Erxleben 1777)	sedges & grasses	kg (body - dry) per hectare
935	39917	Sivapragasam A. and A. Asma. 1985. DEVELOPMENT AND REPRODUCTION OF THE MIRID BUG CYRTORHINUS-LIVIDIPENNIS (HETEROPTERA MIRIDAE) AND ITS FUNCTIONAL-RESPONSE TO THE BROWN PLANTHOPPER. Applied Entomology and Zoology 20:373-379.	Cyrtorhinus lividipennis Reuter 1885	Nilaparvata lugens (Stl 1854)	Individuals per arena
936	39917	Sivapragasam A. and A. Asma. 1985. DEVELOPMENT AND REPRODUCTION OF THE MIRID BUG CYRTORHINUS-LIVIDIPENNIS (HETEROPTERA MIRIDAE) AND ITS FUNCTIONAL-RESPONSE TO THE BROWN PLANTHOPPER. Applied Entomology and Zoology 20:373-379.	Cyrtorhinus lividipennis Reuter 1885	Nilaparvata lugens (Stl 1854)	Individuals per arena
940	39918	Wanink J. and L. Zwarts. 1985. DOES AN OPTIMALLY FORAGING OYSTERCATCHER OBEY THE FUNCTIONAL-RESPONSE. Oecologia 67:98-106.	Haematopus ostralegus Linnaeus 1758	Scrobicularia plana Da Costa 1778	Individuals per square meter
941	39918	Wanink J. and L. Zwarts. 1985. DOES AN OPTIMALLY FORAGING OYSTERCATCHER OBEY THE FUNCTIONAL-RESPONSE. Oecologia 67:98-106.	Haematopus ostralegus Linnaeus 1758	Scrobicularia plana Da Costa 1778	Individuals per square meter
949	39919	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
950	39919	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
954	39920	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
955	39920	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
959	39921	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
960	39921	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
964	39922	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
965	39922	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
969	39923	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
970	39923	Bailey P. 1986. The Feeding Behaviour of a Sit and Wait Predator Ranatra dispar (Heteroptera: Nepidae): The Effect of Prey Density and Age Structure on the Number of Prey Eaten. Ethology 72:277-286.	Ranatra dispar ????	Anisops deanei Brooks 1951	Individuals per arena
974	39924	Hurd L. E. and I. H. Rathet. 1986. FUNCTIONAL-RESPONSE AND SUCCESS IN JUVENILE MANTIDS. Ecology 67:163-167.	Tenodera sinensis ????	Drosophila melanogaster Meigen 1830	Individuals per arena
975	39924	Hurd L. E. and I. H. Rathet. 1986. FUNCTIONAL-RESPONSE AND SUCCESS IN JUVENILE MANTIDS. Ecology 67:163-167.	Tenodera sinensis ????	Drosophila melanogaster Meigen 1830	Individuals per arena
980	39925	Hudson R. J. and S. Frank. 1987. FORAGING ECOLOGY OF BISON IN ASPEN BOREAL HABITATS. Journal of Range Management 40:71-75.	Bison bison (Linnaeus 1758)	sedges & grasses	kg (body - dry) per hectare
981	39925	Hudson R. J. and S. Frank. 1987. FORAGING ECOLOGY OF BISON IN ASPEN BOREAL HABITATS. Journal of Range Management 40:71-75.	Bison bison (Linnaeus 1758)	sedges & grasses	kg (body - dry) per hectare
1016	39926	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Sidnia kinbergi Stal 1859	Individuals per arena
1017	39926	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Sidnia kinbergi Stal 1859	Individuals per arena
1021	39927	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Sidnia kinbergi Stal 1859	Individuals per arena
1022	39927	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Sidnia kinbergi Stal 1859	Individuals per arena
1026	39928	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Acyrthosiphon pisum (Harris)	Individuals per arena
1027	39928	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Acyrthosiphon pisum (Harris)	Individuals per arena
1031	39929	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Acyrthosiphon pisum (Harris)	Individuals per arena
1032	39929	Siddique A. B. and R. B. Chapman. 1987. FUNCTIONAL-RESPONSE OF PACIFIC DAMSEL BUG NABIS-KINBERGII HEMIPTERA NABIDAE. Entomophaga 32:303-309.	Nabis kinbergii Reuter	Acyrthosiphon pisum (Harris)	Individuals per arena
1036	39931	Lundberg P. 1988. FUNCTIONAL-RESPONSE OF A SMALL MAMMALIAN HERBIVORE - THE DISK EQUATION REVISITED. Journal of Animal Ecology 57:999-1006.	Myodes glareolus (Schreber 1780)	Salix myrsinifolia Salisb.	Individuals per square meter
1037	39931	Lundberg P. 1988. FUNCTIONAL-RESPONSE OF A SMALL MAMMALIAN HERBIVORE - THE DISK EQUATION REVISITED. Journal of Animal Ecology 57:999-1006.	Myodes glareolus (Schreber 1780)	Salix myrsinifolia Salisb.	Individuals per square meter
1042	39932	Spalinger D. E. T. A. Hanley and C. T. Robbins. 1988. ANALYSIS OF THE FUNCTIONAL-RESPONSE IN FORAGING IN THE SITKA BLACK-TAILED DEER. Ecology 69:1166-1175.	Odocoileus hemionus sitkensis Merriam 1898	Rubus pedatus Sm.	g (body - dry) per square meter
1043	39932	Spalinger D. E. T. A. Hanley and C. T. Robbins. 1988. ANALYSIS OF THE FUNCTIONAL-RESPONSE IN FORAGING IN THE SITKA BLACK-TAILED DEER. Ecology 69:1166-1175.	Odocoileus hemionus sitkensis Merriam 1898	Rubus pedatus Sm.	g (body - dry) per square meter
1075	39933	Spalinger D. E. T. A. Hanley and C. T. Robbins. 1988. ANALYSIS OF THE FUNCTIONAL-RESPONSE IN FORAGING IN THE SITKA BLACK-TAILED DEER. Ecology 69:1166-1175.	Odocoileus hemionus sitkensis Merriam 1898	Tsuga heterophylla (Raf.) Sarg.	g (body - dry) per square meter
1076	39933	Spalinger D. E. T. A. Hanley and C. T. Robbins. 1988. ANALYSIS OF THE FUNCTIONAL-RESPONSE IN FORAGING IN THE SITKA BLACK-TAILED DEER. Ecology 69:1166-1175.	Odocoileus hemionus sitkensis Merriam 1898	Tsuga heterophylla (Raf.) Sarg.	g (body - dry) per square meter
1092	39934	Sprung M. and U. Rose. 1988. Influence of food size and food quantity on the feeding of the mussel Dreissena polymorpha. Oecologia 77:526-532.	Dreissena polymorpha (Pallas 1771)	Chlamydomonas reinhardtii P.A.Dang	Individuals per microliter
1093	39934	Sprung M. and U. Rose. 1988. Influence of food size and food quantity on the feeding of the mussel Dreissena polymorpha. Oecologia 77:526-532.	Dreissena polymorpha (Pallas 1771)	Chlamydomonas reinhardtii P.A.Dang	Individuals per microliter
